
"17:40 29/06/2022","THÔNG BÁO VỀ 777 CA MẮC MỚI","Tính từ 16h ngày 28/6 đến 16h ngày 29/6, trên Hệ thống Quốc gia quản lý ca bệnh COVID-19 ghi nhận 777 ca nhiễm mới, trong đó 0 ca nhập cảnh và 777 ca ghi nhận trong nước tại 43 tỉnh thành phố.  Các tỉnh, thành phố ghi nhận ca bệnh như sau:  Hà Nội (191), Bắc Ninh (74), Nghệ An (42), Hồ Chí Minh (35), Quảng Ninh (34), Lào Cai (31), Yên Bái (28), Quảng Bình (24), Ninh Bình (24), Hà Nam (23), Hải Dương (21), Phú Thọ (20), Vĩnh Phúc (17), Thái Nguyên (14), Cao Bằng (14), Tuyên Quang (14), Sơn La (14), Thái Bình (13), Bắc Giang (12), Bắc Kạn (12), Quảng Trị (11), Thanh Hóa (11), Nam Định (10), Đà Nẵng (10), Hưng Yên (10), Hòa Bình (9), Quảng Ngãi (8), Lạng Sơn (8), Hà Tĩnh (7), Hải Phòng (7), Điện Biên (4), Khánh Hòa (4), Lâm Đồng (4), Bình Dương (3), Đồng Tháp (3), Lai Châu (2), Gia Lai (2), Tây Ninh (2), Bình Thuận (1), Bình Phước (1), Đồng Nai (1), Bà Rịa - Vũng Tàu (1), Bến Tre (1)."
"17:43 28/06/2022","THÔNG BÁO VỀ 769 CA MẮC MỚI","Tính từ 16h ngày 27/6 đến 16h ngày 28/6, trên Hệ thống Quốc gia quản lý ca bệnh COVID-19 ghi nhận 769 ca nhiễm mới, trong đó 0 ca nhập cảnh và 769 ca ghi nhận trong nước (tăng 132 ca so với ngày trước đó) tại 37 tỉnh, thành phố (có 665 ca trong cộng đồng).  Các tỉnh, thành phố ghi nhận ca bệnh như sau: Hà Nội (158), Phú Thọ (62), Nghệ An (54), Bắc Ninh (40), Sơn La (40), Đà Nẵng (38), TP. Hồ Chí Minh (32), Yên Bái (32), Lào Cai (27), Quảng Ninh (26), Hòa Bình (26), Hà Nam (21), Vĩnh Phúc (21), Bắc Kạn (17), Hưng Yên (16), Tuyên Quang (15), Cao Bằng (14), Thái Bình (13), Hải Dương (13), Quảng Bình (12), Ninh Bình (11), Thái Nguyên (11), Nam Định (11), Hải Phòng (9), Quảng Trị (8 ), Thanh Hóa (7), Khánh Hòa (6), Lạng Sơn (5), Lâm Đồng (5), Bà Rịa - Vũng Tàu (4), Điện Biên (4), Bắc Giang (3), Lai Châu (2), Bình Thuận (2), Bến Tre (2), Đồng Tháp (1), Cà Mau (1)."
"17:41 27/06/2022","THÔNG BÁO VỀ 637 CA MẮC MỚI","Tính từ 16h ngày 26/6 đến 16h ngày 27/6, trên Hệ thống Quốc gia quản lý ca bệnh COVID-19 ghi nhận 637 ca nhiễm mới, trong đó 0 ca nhập cảnh và 637 ca ghi nhận trong nước (tăng 80 ca so với ngày trước đó) tại 39 tỉnh, thành phố (có 598 ca trong cộng đồng).  Các tỉnh, thành phố ghi nhận ca bệnh như sau: Hà Nội (188), Hải Phòng (64), Đà Nẵng (62), Yên Bái (31), Quảng Ninh (21), Hải Dương (21), Lào Cai (19), Phú Thọ (19), TP. Hồ Chí Minh (14), Vĩnh Phúc (13), Hưng Yên (12), Thái Bình (12), Thái Nguyên (12), Lạng Sơn (11), Hòa Bình (11), Bắc Kạn (10), Nghệ An (10), Sơn La (9), Quảng Bình (9), Điện Biên (8), Tuyên Quang (8 ), Cao Bằng (8 ), Quảng Ngãi (7), Hà Nam (7), Quảng Trị (6), Thanh Hóa (6), Bắc Giang (6), Ninh Bình (5), Hà Giang (5), Nam Định (5), Bình Dương (5), Lâm Đồng (4), Hà Tĩnh (2), Gia Lai (2), Khánh Hòa (1), Tây Ninh (1), Bình Định (1), Quảng Nam (1), Cần Thơ (1)."
"17:40 26/06/2022","THÔNG BÁO VỀ 557 CA MẮC MỚI","Tính từ 16h ngày 25/6 đến 16h ngày 26/6, trên Hệ thống Quốc gia quản lý ca bệnh COVID-19 ghi nhận 557 ca nhiễm mới, trong đó 0 ca nhập cảnh và 557 ca ghi nhận trong nước (giảm 100 ca so với ngày trước đó) tại 32 tỉnh, thành phố (có 476 ca trong cộng đồng).  Các tỉnh, thành phố ghi nhận ca bệnh như sau: Hà Nội (177), TP. Hồ Chí Minh (32), Bắc Ninh (32), Phú Thọ (26), Quảng Ninh (21), Nghệ An (21), Bắc Kạn (20), Quảng Bình (18), Lào Cai (16), Vĩnh Phúc (14), Thái Nguyên (14), Tuyên Quang (14), Đà Nẵng (14), Thanh Hóa (12), Thái Bình (12), Thừa Thiên Huế (12), Sơn La (11), Nam Định (11), Ninh Bình (11), Yên Bái (11), Quảng Trị (10), Hà Nam (10), Hòa Bình (9), Lâm Đồng (6), Hải Dương (6), Cao Bằng (6), Điện Biên (3), Hưng Yên (2), Khánh Hòa (2), Lai Châu (2), Quảng Nam (1), Bến Tre (1)."
"17:37 25/06/2022","THÔNG BÁO VỀ 657 CA MẮC MỚI","Tính từ 16h ngày 24/6 đến 16h ngày 25/6, trên Hệ thống Quốc gia quản lý ca bệnh COVID-19 ghi nhận 657 ca nhiễm mới, trong đó 0 ca nhập cảnh và 657 ca ghi nhận trong nước (tăng 4 ca so với ngày trước đó) tại 36 tỉnh, thành phố (có 512 ca trong cộng đồng).  Các tỉnh, thành phố ghi nhận ca bệnh như sau: Hà Nội (169), Bắc Ninh (53), Phú Thọ (45), Yên Bái (43), Lào Cai (34), TP. Hồ Chí Minh (27), Quảng Ninh (22), Quảng Bình (21), Nghệ An (21), Hải Phòng (18), Vĩnh Phúc (17), Đà Nẵng (15), Hòa Bình (15), Hà Nam (14), Thái Nguyên (13), Ninh Bình (12), Cao Bằng (12), Thái Bình (12), Hưng Yên (11), Thanh Hóa (9), Quảng Trị (9), Tuyên Quang (9), Nam Định (8 ), Hải Dương (7), Lâm Đồng (7), Điện Biên (6), Sơn La (5), Lai Châu (5), Khánh Hòa (5), Tây Ninh (3), Vĩnh Long (3), Bình Định (2), Bà Rịa - Vũng Tàu (2), Bình Phước (1), Lạng Sơn (1), Đồng Tháp (1)."
"17:43 24/06/2022","THÔNG BÁO VỀ 653 CA MẮC MỚI","Tính từ 16h ngày 23/6 đến 16h ngày 24/6, trên Hệ thống Quốc gia quản lý ca bệnh COVID-19 ghi nhận 653 ca nhiễm mới, trong đó 0 ca nhập cảnh và 653 ca ghi nhận trong nước (giảm 87 ca so với ngày trước đó) tại 38 tỉnh, thành phố (có 534 ca trong cộng đồng).  Các tỉnh, thành phố ghi nhận ca bệnh như sau: Hà Nội (162), Đà Nẵng (47), Yên Bái (42), Phú Thọ (39), Quảng Ninh (31), Nghệ An (31), Lào Cai (27), TP. Hồ Chí Minh (24), Quảng Trị (16), Tuyên Quang (15), Thái Bình (14), Thái Nguyên (14), Cao Bằng (13), Sơn La (13), Bắc Kạn (12), Vĩnh Phúc (12), Nam Định (12), Hà Tĩnh (11), Hà Nam (10), Hòa Bình (10), Lạng Sơn (9), Lai Châu (8 ), Hải Dương (8 ), Hưng Yên (8 ), Hà Giang (8 ), Ninh Bình (8 ), Lâm Đồng (7), Quảng Bình (7), Thanh Hóa (6), Quảng Ngãi (5), Bến Tre (5), Phú Yên (4), Điện Biên (4), Bình Định (3), Gia Lai (3), Khánh Hòa (2), Đồng Tháp (2), Bắc Giang (1).  Sở Y tế An Giang đăng ký bổ sung 986 ca trên Hệ thống Quốc gia quản lý ca bệnh COVID-19 sau khi rà soát, bổng sung thông tin."
"17:44 23/06/2022","THÔNG BÁO VỀ 740 CA MẮC MỚI","Tính từ 16h ngày 22/6 đến 16h ngày 23/6, trên Hệ thống Quốc gia quản lý ca bệnh COVID-19 ghi nhận 740 ca nhiễm mới, trong đó 0 ca nhập cảnh và 740 ca ghi nhận trong nước (giảm 148 ca so với ngày trước đó) tại 37 tỉnh, thành phố (có 634 ca trong cộng đồng).  Các tỉnh, thành phố ghi nhận ca bệnh như sau: Hà Nội (154), Bắc Ninh (54), Nghệ An (51), Yên Bái (40), Đà Nẵng (40), Phú Thọ (39), TP. Hồ Chí Minh (38), Quảng Ninh (33), Lào Cai (26), Vĩnh Phúc (22), Hải Dương (20), Hà Nam (18), Thái Nguyên (16), Thái Bình (15), Bắc Kạn (15), Hòa Bình (13), Điện Biên (13), Nam Định (13), Ninh Bình (12), Lai Châu (12), Sơn La (11), Hưng Yên (11), Tuyên Quang (11), Hà Giang (9), Quảng Bình (9), Cao Bằng (8 ), Quảng Ngãi (6), Hải Phòng (6), Thanh Hóa (5), Gia Lai (4), Lạng Sơn (4), Quảng Trị (3), Khánh Hòa (3), Bà Rịa - Vũng Tàu (2), Hậu Giang (2), Lâm Đồng (1), Bình Phước (1)."
"17:45 22/06/2022","THÔNG BÁO VỀ 888 CA MẮC MỚI","Tính từ 16h ngày 21/6 đến 16h ngày 22/6, trên Hệ thống Quốc gia quản lý ca bệnh COVID-19 ghi nhận 888 ca nhiễm mới, trong đó 0 ca nhập cảnh và 888 ca ghi nhận trong nước (tăng 140 ca so với ngày trước đó) tại 43 tỉnh, thành phố (có 747 ca trong cộng đồng).  Các tỉnh, thành phố ghi nhận ca bệnh như sau: Hà Nội (149), Hải Phòng (88), Đà Nẵng (61), Nghệ An (51), Bắc Ninh (50), Yên Bái (45), Phú Thọ (34), Quảng Ninh (28), Lào Cai (26), Vĩnh Phúc (25), TP. Hồ Chí Minh (25), Quảng Bình (22), Sơn La (17), Bạc Liêu (16), Hà Giang (15), Thái Bình (15), Hà Nam (15), Thái Nguyên (15), Ninh Bình (14), Hà Tĩnh (14), Bắc Kạn (13), Hòa Bình (12), Hải Dương (11), Nam Định (11), Thanh Hóa (11), Tuyên Quang (11), Quảng Trị (10), Lâm Đồng (9), Đồng Tháp (9), Cao Bằng (8 ), Bến Tre (7), Thừa Thiên Huế (7), Bắc Giang (7), Điện Biên (6), Cà Mau (6), Hưng Yên (6), Bình Định (5), Lạng Sơn (5), Bà Rịa - Vũng Tàu (4), Gia Lai (2), Bình Phước (1), Lai Châu (1), Hậu Giang (1).  Sở Y tế Ninh Thuận đăng ký bổ sung 58 ca trên Hệ thống Quốc gia quản lý ca bệnh COVID-19 sau khi rà soát, bổng sung thông tin."
"17:45 21/06/2022","THÔNG BÁO VỀ 748 CA MẮC MỚI","Tính từ 16h ngày 20/6 đến 16h ngày 21/6, trên Hệ thống Quốc gia quản lý ca bệnh COVID-19 ghi nhận 748 ca nhiễm mới, trong đó 0 ca nhập cảnh và 748 ca ghi nhận trong nước (tăng 228 ca so với ngày trước đó) tại 40 tỉnh, thành phố (có 636 ca trong cộng đồng).  Các tỉnh, thành phố ghi nhận ca bệnh như sau: Hà Nội (145), Phú Thọ (74), Nghệ An (44), Lào Cai (42), Bắc Ninh (37), Yên Bái (34), TP. Hồ Chí Minh (26), Quảng Ninh (25), Hà Nam (22), Hải Dương (21), Bắc Giang (19), Vĩnh Phúc (19), Cao Bằng (17), Hòa Bình (16), Hưng Yên (16), Bà Rịa - Vũng Tàu (15), Đà Nẵng (15), Thái Bình (15), Quảng Bình (14), Thái Nguyên (13), Tuyên Quang (13), Quảng Ngãi (12), Lai Châu (11), Quảng Trị (10), Long An (9), Bắc Kạn (9), Nam Định (8 ), Sơn La (8 ), Lâm Đồng (8 ), Lạng Sơn (7), Thanh Hóa (5), Ninh Bình (5), Tây Ninh (4), Đồng Tháp (2), Gia Lai (2), Hải Phòng (2), Bình Dương (1), Bình Phước (1), Bình Định (1), Kiên Giang (1)."
"17:46 20/06/2022","THÔNG BÁO VỀ 521 CA MẮC MỚI","Tính từ 16h ngày 19/6 đến 16h ngày 20/6, trên Hệ thống Quốc gia quản lý ca bệnh COVID-19 ghi nhận 521 ca nhiễm mới, trong đó 1 ca nhập cảnh và 520 ca ghi nhận trong nước (giảm 13 ca so với ngày trước đó) tại 42 tỉnh, thành phố (có 432 ca trong cộng đồng).  Các tỉnh, thành phố ghi nhận ca bệnh như sau: Hà Nội (141), Đà Nẵng (27), Phú Thọ (27), Yên Bái (24), Quảng Ninh (23), Hải Dương (22), Hưng Yên (20), Nghệ An (17), Nam Định (15), Thái Bình (14), Thái Nguyên (14), Lào Cai (13), Bắc Ninh (11), Quảng Bình (11), Bắc Giang (10), Hà Giang (10), Bạc Liêu (9), Vĩnh Phúc (9), Hải Phòng (9), Quảng Ngãi (9), TP. Hồ Chí Minh (8 ), Lâm Đồng (8 ), Sơn La (7), Thanh Hóa (7), Cao Bằng (6), Bắc Kạn (6), Hà Nam (6), Tây Ninh (5), Hòa Bình (5), Ninh Bình (5), Tuyên Quang (5), Bình Định (3), Khánh Hòa (2), Điện Biên (2), Vĩnh Long (2), Hà Tĩnh (2), Quảng Nam (1), Bình Phước (1), Bình Dương (1), Bà Rịa - Vũng Tàu (1), Bến Tre (1), Hậu Giang (1)."
